TimeOfDay,currentLocation,n
Morning,POINT (-805.189535358799 4262.91696825146),3
Morning,POINT (-806.8844671480128 4262.851122496273),4
Morning,POINT (-807.0040659702498 5512.994614502776),12
Morning,POINT (-807.6604829022815 5799.831987783248),327
Morning,POINT (-807.7942707590807 4436.619702235212),5
Morning,POINT (-807.9423522646574 5513.095310721223),2
Morning,POINT (-808.7521236599454 4436.6326604690985),11
Morning,POINT (-809.9662209998845 5513.312510875891),7
Morning,POINT (-81.03288693137736 1663.1051676881893),321
Morning,POINT (-81.05481175501981 4022.3344926294635),2
Morning,POINT (-811.4391961151817 1602.2480937810767),19
Morning,POINT (-811.5603283773753 4436.670651034765),13
Morning,POINT (-811.6790007765514 4695.717947460926),1
Morning,POINT (-811.824901059456 1602.2205955346656),1487
Morning,POINT (-812.7062939496958 3877.1946661441475),3
Morning,POINT (-813.4087883569869 4436.695657772985),5
Morning,POINT (-814.2449008300142 5513.771695755179),1
Morning,POINT (-814.5895307458435 5513.808681192881),16
Morning,POINT (-815.3029583340925 4436.721282895132),6
Morning,POINT (-816.4489746185034 3877.091760272862),7
Morning,POINT (-816.7219161983433 3680.284571446751),20
Morning,POINT (-817.1899406371507 3877.071387240672),5
Morning,POINT (-817.4828792480047 5514.119193298355),4
Morning,POINT (-818.542037405746 5514.232861399292),1
Morning,POINT (-819.0953623832697 3877.0189972287253),2
Morning,POINT (-819.1696562902633 4436.7735931991865),1
Morning,POINT (-819.6442418772548 5514.351149200038),19
Morning,POINT (-82.06554016401982 1511.1129553803012),63
Morning,POINT (-82.20317646019271 4022.539159265734),4
Morning,POINT (-82.46766591785898 4740.979454531939),2
Morning,POINT (-82.74220336999002 3845.042271508743),10
Morning,POINT (-820.4751468446739 4770.301635511239),161
Morning,POINT (-820.9290279479601 4497.243308530136),1177
Morning,POINT (-821.9885635719215 4436.81172855361),10
Morning,POINT (-822.9630891983956 4436.824912343088),1
Morning,POINT (-823.7363210152198 5537.173528462925),42
Morning,POINT (-824.1691789631914 5514.83676223305),13
Morning,POINT (-824.727741739507 3680.567652469854),18
Morning,POINT (-826.6342856161883 3680.635066678223),6
Morning,POINT (-827.8207166603851 3680.677018143703),9
Morning,POINT (-828.00799331869 3680.683640130126),2
Morning,POINT (-828.1311848612849 5799.776293464178),2
Morning,POINT (-828.2743924765101 4436.89676587097),3
Morning,POINT (-828.463403088563 5619.859417767259),60
Morning,POINT (-828.7908264808464 3680.711320624951),30
Morning,POINT (-829.9769821594069 3876.7198045742743),8
Morning,POINT (-831.1509970580761 4313.035927387888),1
Morning,POINT (-831.3399758681712 5515.606327061909),321
Morning,POINT (-831.8488927662894 5515.66094366182),119
Morning,POINT (-832.0504276569994 4436.947849651149),2
Morning,POINT (-832.8236840205867 5515.765557566624),15
Morning,POINT (-833.6271850604394 1600.6662349108683),6
Morning,POINT (-834.2420262731226 1600.622400743272),67
Morning,POINT (-835.44812149104 5516.047210331241),4
Morning,POINT (-835.8821564130471 4436.999686877268),10
Morning,POINT (-835.9243023248483 4437.000257044756),4
Morning,POINT (-837.179190835123 4437.01723370036),5
Morning,POINT (-838.03460904397 4261.640982577727),3
Morning,POINT (-838.778415830149 3681.0644755865214),18
Morning,POINT (-838.7935640848998 3681.065011219409),3
Morning,POINT (-84.13917981996573 4022.8842023462703),7
Morning,POINT (-84.70618701290692 4103.399826759186),5
Morning,POINT (-840.004344951908 1600.2115850115042),360
Morning,POINT (-840.1119893935555 3681.1116299201713),4
Morning,POINT (-841.0600037374813 3681.14515111908),8
Morning,POINT (-841.1762424616774 3681.1492612482352),6
Morning,POINT (-842.7595267251473 4437.09272681372),11
Morning,POINT (-843.0194993765189 3876.3611975445137),26
Morning,POINT (-843.7032646177961 3681.2386151835262),10
Morning,POINT (-844.8753405814598 3681.280059062267),15
Morning,POINT (-844.9094888728669 1637.234473188592),435
Morning,POINT (-845.0035511725716 3681.2845925092074),14
Morning,POINT (-845.5457499822745 5799.728913928867),4
Morning,POINT (-846.0465405661212 1599.9042582499176),1362
Morning,POINT (-846.1110492738061 3876.2761946645046),3
Morning,POINT (-847.9042033775468 3681.387157771169),3
Morning,POINT (-847.9453912989048 4810.66171287991),3
Morning,POINT (-849.0940004713493 5517.51167636776),24
Morning,POINT (-849.230394581875 3681.434051069183),1
Morning,POINT (-85.30076131831564 3844.8647065709006),6
Morning,POINT (-85.44555334552678 4741.059323096202),3
Morning,POINT (-850.8184630161351 4437.201751467965),1
Morning,POINT (-852.8691600353975 3681.5627155575758),1
Morning,POINT (-853.4493573520296 5517.979090173633),16
Morning,POINT (-854.2967693633572 3876.0511263959406),11
Morning,POINT (-854.9979605951582 3876.0318469807216),2
Morning,POINT (-855.1707145531941 5799.7027274381),23
Morning,POINT (-855.2484275272525 4593.770197855418),1
Morning,POINT (-857.2092933897864 4437.2882092890295),2
Morning,POINT (-857.2911465061795 5316.607544700926),3
Morning,POINT (-857.2915329682018 5316.773017199887),3
Morning,POINT (-857.3154362881337 5318.941096200196),1
Morning,POINT (-857.3409780216664 3875.967425174255),2
Morning,POINT (-857.3439874245665 5321.5307414675135),2
Morning,POINT (-857.3497462890341 5314.888611687005),4
Morning,POINT (-857.3607123482753 5323.047725550809),80
Morning,POINT (-857.4585674186169 5331.923376451401),1
Morning,POINT (-857.4909831017872 5334.863543849163),1
Morning,POINT (-857.5166821391381 5309.991809515173),13
Morning,POINT (-857.563514979254 5308.618041369805),346
Morning,POINT (-857.5910503723217 5343.93984573867),2
Morning,POINT (-857.5960854395511 5344.396536422488),11
Morning,POINT (-857.6285134242567 5306.711413605572),60
Morning,POINT (-857.6473054199209 5349.042291244503),13
Morning,POINT (-857.6966812184432 5304.711817938049),322
Morning,POINT (-857.76917173204 5360.095809872982),20
Morning,POINT (-857.7885127684184 5361.850080615941),326
Morning,POINT (-857.8033830590205 5363.1988457613115),6
Morning,POINT (-857.8478470528235 5518.451132963114),3
Morning,POINT (-857.9057099991821 5372.480104212518),25
Morning,POINT (-857.9258173363169 5374.303879969107),10
Morning,POINT (-857.9268729750119 5374.399628513371),16
Morning,POINT (-857.9421556348669 5375.785796376025),1
Morning,POINT (-857.9761367371427 5296.51442720355),296
Morning,POINT (-857.9860124043399 5379.763693219913),325
Morning,POINT (-858.0084461229525 5381.798476436687),321
Morning,POINT (-858.0265591025147 5295.035365946734),2
Morning,POINT (-858.0369179743377 5294.731504637084),327
Morning,POINT (-858.0705547231768 5387.431850891287),15
Morning,POINT (-858.1009201919636 5292.854099645421),2
Morning,POINT (-858.1015728918796 5292.834953713828),2
Morning,POINT (-858.1120791124041 5292.526770160386),3
Morning,POINT (-858.1233475713694 5392.220267975566),3
Morning,POINT (-858.1361398039392 5393.380549094684),384
Morning,POINT (-858.1369692741421 5393.455783703661),707
Morning,POINT (-858.1386521575351 5393.608424598519),7
Morning,POINT (-858.1399707866342 5393.728026899247),21
Morning,POINT (-858.16426000955 5395.931108073225),4
Morning,POINT (-858.2125557345271 5400.311627073328),3
Morning,POINT (-858.2504155031692 5288.4688884152765),4
Morning,POINT (-858.260960948478 5404.702076942673),356
Morning,POINT (-858.291169530773 5407.442055869849),5
Morning,POINT (-858.3524614463624 5413.001355392103),19
Morning,POINT (-858.3573131420392 5413.4414139087685),8
Morning,POINT (-858.3847037637996 5415.925798170586),8
Morning,POINT (-858.3982125755517 5417.151074456989),8
Morning,POINT (-858.4019586406032 5417.4908500611755),11
Morning,POINT (-858.4068570745814 5417.935147835402),2
Morning,POINT (-858.419587251486 5419.089800381392),3
Morning,POINT (-858.4233324974646 5283.396638729633),325
Morning,POINT (-858.458571729879 5422.625770664288),34
Morning,POINT (-858.4615096719862 5282.276771002029),2
Morning,POINT (-858.4964973165615 5518.5207456485405),42
Morning,POINT (-858.5976323606739 5278.2838247464115),2
Morning,POINT (-858.671687274771 5426.077222237866),10
Morning,POINT (-858.781587498885 4437.3094799400715),5
Morning,POINT (-858.8604158073009 5270.575483180695),2
Morning,POINT (-858.891301929204 5269.6694870826705),7
Morning,POINT (-858.9412359686723 5268.204750102778),7
Morning,POINT (-859.0406059679414 5265.28988653134),20
Morning,POINT (-859.1053839972623 5263.389724316526),23
Morning,POINT (-859.2041717850831 5260.491939007677),6
Morning,POINT (-859.2577463140539 5258.9204139598505),3
Morning,POINT (-859.4755081978 5252.532709553602),1
Morning,POINT (-859.7213838662244 5439.993099782572),13
Morning,POINT (-859.7501093130088 5244.477715156027),15
Morning,POINT (-859.9402543151915 5238.900108793636),2
Morning,POINT (-859.9830135295521 5237.645834091011),4
Morning,POINT (-86.78279548948817 4702.886440892045),1
Morning,POINT (-860.0046915161661 5237.009944245503),15
Morning,POINT (-860.0558655081667 5444.427338788507),8
Morning,POINT (-860.1150123772362 5233.773854263932),343
Morning,POINT (-860.2330696447257 5446.776542439207),2
Morning,POINT (-860.2433854289578 5230.0082314927695),1
Morning,POINT (-860.2508821174035 5447.012683235102),18
Morning,POINT (-860.4246553853096 5224.690960724399),1
Morning,POINT (-860.4578614827606 5223.716911770776),10
Morning,POINT (-860.5539132512897 5220.899383310298),1
Morning,POINT (-860.6856675588809 5217.034576684528),6
Morning,POINT (-860.6940713611724 5452.888064079084),5
Morning,POINT (-860.7502097229243 5215.141333208872),9
Morning,POINT (-860.8131943592947 5213.2937773724325),13
Morning,POINT (-860.9007460796594 5455.627960633448),642
Morning,POINT (-860.9088814474286 5210.4869462412025),328
Morning,POINT (-860.9415194365238 5209.529561858006),323
Morning,POINT (-861.0498948087426 5457.605232415379),3
Morning,POINT (-861.0595372925865 5457.733063281451),332
Morning,POINT (-861.0670149005838 5205.848348622015),1
Morning,POINT (-861.0995988953625 5204.892548077673),7
Morning,POINT (-861.1576117208359 5203.190832540868),1
Morning,POINT (-861.2479077260698 5197.175217656706),4
Morning,POINT (-861.2611525476523 5460.405886289054),339
Morning,POINT (-861.2626108441256 5460.42521899463),3
Morning,POINT (-861.2798530355616 5193.135222775089),2
Morning,POINT (-861.2820856551788 5192.852872346512),3
Morning,POINT (-861.2888033677581 5192.003310239637),13
Morning,POINT (-861.3021500695388 5190.315406514852),1
Morning,POINT (-861.317666744255 5188.353075035511),2
Morning,POINT (-861.3601355659894 5182.982213861689),16
Morning,POINT (-861.3655573135355 5182.2965472432),7
Morning,POINT (-861.3756109579859 5181.02510324195),3
Morning,POINT (-861.4099205322008 5176.686109304383),5
Morning,POINT (-861.4160498131074 1600.0388109644375),102
Morning,POINT (-861.4481585639961 5171.850299127746),335
Morning,POINT (-861.4519283853767 5171.373544971194),17
Morning,POINT (-861.4866973005641 5463.395943785598),3
Morning,POINT (-861.4979910114691 5165.548189806151),5
Morning,POINT (-861.5714416118253 5156.259187626749),3
Morning,POINT (-861.5793210530791 5155.262706364192),323
Morning,POINT (-861.6231517439052 5149.719615080612),332
Morning,POINT (-861.6525825431708 5145.997620199775),27
Morning,POINT (-861.6655763186626 5144.354349644098),1
Morning,POINT (-861.6711389978904 5143.650859962329),1
Morning,POINT (-861.7498953418669 5133.690861714629),23
Morning,POINT (-861.7956147729973 5127.908909036903),6
Morning,POINT (-861.7988262444958 5127.50276714556),320
Morning,POINT (-861.810378604134 5467.687002193013),3
Morning,POINT (-861.836070971323 5122.792576255466),77
Morning,POINT (-861.8364497907695 5468.032629151906),9
Morning,POINT (-861.8453501406497 5121.619077009994),3
Morning,POINT (-861.8648267496561 5119.155948558602),1
Morning,POINT (-861.881027905129 5117.107053549349),329
Morning,POINT (-861.9156753477206 5112.725330756305),3
Morning,POINT (-861.9209757033692 5112.055016083138),25
Morning,POINT (-861.9380668488488 5109.893567615201),3
Morning,POINT (-861.9417073874763 5109.433163328772),7
Morning,POINT (-861.9808350695288 5104.484842660216),8
Morning,POINT (-861.9931750360356 5102.924256698773),13
Morning,POINT (-862.019118969868 5099.643231673206),3
Morning,POINT (-862.0201941046215 5099.507263702625),27
Morning,POINT (-862.0368183788876 5097.466166448489),445
Morning,POINT (-862.0433228850598 5518.901388448467),15
Morning,POINT (-862.0525262966493 5095.962505220226),32
Morning,POINT (-862.055331046681 5470.934348352383),2
Morning,POINT (-862.0897887493296 5092.395507594196),5
Morning,POINT (-862.0966033781552 5091.743168225881),2
Morning,POINT (-862.1428132949317 5087.319662750957),2
Morning,POINT (-862.188570064341 5082.939535407823),670
Morning,POINT (-862.2188377125448 5473.101963983823),6
Morning,POINT (-862.359503730272 5066.576683885014),7
Morning,POINT (-862.4173229370984 5061.041863746949),2
Morning,POINT (-862.4203644981228 5060.750706290245),87
Morning,POINT (-862.4404819316885 5476.040311919034),3
Morning,POINT (-862.4504267483188 5057.87295758159),24
Morning,POINT (-862.4671842832087 5056.26882036381),3
Morning,POINT (-862.4979651036143 5053.322285570303),6
Morning,POINT (-862.5206720766927 5051.148630503645),3
Morning,POINT (-862.5510691908353 5048.23882650027),9
Morning,POINT (-862.5546898244646 5047.892236551628),3
Morning,POINT (-862.5611483300008 5477.639992089806),24
Morning,POINT (-862.5996410355197 5043.5892223486835),3
Morning,POINT (-862.6307610214034 5040.61022049066),3
Morning,POINT (-862.630963542191 5040.5908339200805),339
Morning,POINT (-862.6589628420653 5037.910563862745),332
Morning,POINT (-862.6810149570538 5035.799595953902),642
Morning,POINT (-862.7097168894421 5033.05206546873),5
Morning,POINT (-862.7712647546238 5027.160314572102),18
Morning,POINT (-862.7776183227625 5480.509745060236),72
Morning,POINT (-862.7983476681698 5024.567766809532),8
Morning,POINT (-862.7995197668863 5480.8000935447035),2
Morning,POINT (-862.8447987752158 5020.12117307666),18
Morning,POINT (-862.9111049136475 5013.773930172244),321
Morning,POINT (-862.9905752921344 5006.166522956343),10
Morning,POINT (-863.0267098595613 5002.707493639765),39
Morning,POINT (-863.0636484161887 4999.171501392303),3
Morning,POINT (-863.0757105080738 4998.016841673898),2
Morning,POINT (-863.0803518701837 4997.572541139804),11
Morning,POINT (-863.0839013401712 4997.232763425016),8
Morning,POINT (-863.0967012038207 4996.007479527503),8
Morning,POINT (-863.1226543542709 4993.52307983331),10
Morning,POINT (-863.1272514309251 4993.08301858311),17
Morning,POINT (-863.1853267210952 4987.523684527873),5
Morning,POINT (-863.2158599676898 5486.3195353515),7
Morning,POINT (-863.2447059836384 4984.7842995591),35
Morning,POINT (-863.3732449102599 4980.39546476336),3
Morning,POINT (-863.5014930914431 4976.016557183683),4
Morning,POINT (-863.5659925613813 4973.81428643651),20
Morning,POINT (-863.5694941504701 4973.6947281327575),5
Morning,POINT (-863.5739630084157 4973.542143388472),387
Morning,POINT (-863.5761656473641 4973.466936455346),63
Morning,POINT (-863.5818830065195 4437.374420341521),17
Morning,POINT (-863.6101351252237 4972.307082157958),2
Morning,POINT (-863.7503253131422 4967.520426543748),15
Morning,POINT (-863.9152532652201 4961.889124385758),321
Morning,POINT (-863.9748254863764 4959.855089685595),4
Morning,POINT (-864.0912861238374 4955.878656153302),1
Morning,POINT (-864.13186887378 4954.492998207213),16
Morning,POINT (-864.1346720979305 4954.397284885068),8
Morning,POINT (-864.1880666668533 4952.5741800237565),21
Morning,POINT (-864.1934782386252 3958.952936520846),4
Morning,POINT (-864.4467062678019 5502.636923183538),670
Morning,POINT (-864.4597934908733 4943.296335782023),3
Morning,POINT (-864.4992812037979 4941.948066794232),327
Morning,POINT (-864.5506408787775 4940.194441378394),9
Morning,POINT (-864.5522486522802 3681.9758223211015),17
Morning,POINT (-864.7761881754511 5507.0048804746),2
Morning,POINT (-864.779299602405 3947.5088148281934),19
Morning,POINT (-864.7905231734135 4260.601552328794),321
Morning,POINT (-864.8066343374177 3946.97482605062),23
Morning,POINT (-864.8430201469084 3946.264022967217),4
Morning,POINT (-864.8742540533219 4929.144988904111),13
Morning,POINT (-864.8870402647291 4260.597802773322),10
Morning,POINT (-865.010267527098 4924.500943072336),12
Morning,POINT (-865.1089330726193 5511.416095372619),2
Morning,POINT (-865.1580033399127 5512.066622235621),5
Morning,POINT (-865.2893643552893 4914.971457311553),1
Morning,POINT (-865.3605545970554 3977.5094373278093),9
Morning,POINT (-865.375443452567 4912.032371485589),1
Morning,POINT (-865.426320009803 5515.623709066041),28
Morning,POINT (-865.5394284039512 5517.12319241681),748
Morning,POINT (-865.5679922122221 5519.279653456316),1
Morning,POINT (-865.6352953296597 4903.159985587425),80
Morning,POINT (-865.679707977924 4901.643559542831),2
Morning,POINT (-865.6929605643113 5519.158575555272),27
Morning,POINT (-865.7555248606802 4899.054866904023),1
Morning,POINT (-865.7814361833583 3981.318333630971),4
Morning,POINT (-865.8215617817532 4896.887662285888),1
Morning,POINT (-865.8266377413518 4896.722241012439),3
Morning,POINT (-865.925418999474 3875.731393982579),8
Morning,POINT (-865.9960308757526 5522.562195848481),340
Morning,POINT (-866.0084912862159 3682.027314156963),10
Morning,POINT (-866.0296642584391 4890.105776805394),13
Morning,POINT (-866.0718230441233 4888.731857277572),24
Morning,POINT (-866.1303344541913 4886.82501941239),58
Morning,POINT (-866.1353185401689 5524.116602411888),24
Morning,POINT (-866.1916989031241 4884.825203399317),322
Morning,POINT (-866.4432639436375 4876.626909352908),296
Morning,POINT (-866.4886540094576 4875.147685110859),2
Morning,POINT (-866.4979790355725 4874.843790317194),327
Morning,POINT (-866.4981730322728 4437.413873130357),7
Morning,POINT (-866.5555936446699 4872.966178444789),2
Morning,POINT (-866.5561812032252 4872.9470304034085),2
Morning,POINT (-866.5656388722101 4872.638812889665),3
Morning,POINT (-866.5769731787053 5529.045329386942),334
Morning,POINT (-866.6180658447478 5529.503910626508),4
Morning,POINT (-866.6901688865366 4868.580483986059),4
Morning,POINT (-866.8109825544282 5531.65680048201),352
Morning,POINT (-866.8458282590113 4863.507675363591),325
Morning,POINT (-866.8708104444364 5532.324460933446),6
Morning,POINT (-866.8801952398456 4862.387684232104),2
Morning,POINT (-867.2179135698802 5536.198022735422),2
Morning,POINT (-867.2392893760375 4850.685106986733),1
Morning,POINT (-867.2618942738709 5536.688833570918),342
Morning,POINT (-867.2670929726314 4849.779011052421),7
Morning,POINT (-867.3120434489015 4848.314112665759),9
Morning,POINT (-867.3458533594022 3897.3707431534085),11
Morning,POINT (-867.4014960315817 4845.398927890773),36
Morning,POINT (-867.4447652002563 5538.729615641759),14
Morning,POINT (-867.4598090240977 4843.498556287482),344
Morning,POINT (-867.5298540044867 3682.0811085985956),3
Morning,POINT (-867.5487375017352 4840.600451657027),6
Morning,POINT (-867.5969651360068 4839.0287534349145),3
Morning,POINT (-867.6646078860347 5541.182990928962),3
Morning,POINT (-867.7287893243212 3889.8900228281027),5
Morning,POINT (-867.7693467297348 5542.351843510226),77
Morning,POINT (-867.7929937467917 4832.640345135239),1
Morning,POINT (-867.840190482549 5543.142437528816),62
Morning,POINT (-867.9636268142846 4437.433698400855),7
Morning,POINT (-868.040188867482 4824.584463117127),11
Morning,POINT (-868.1240339541175 4002.5183867556966),1
Morning,POINT (-868.1897474665386 5547.043383621032),320
Morning,POINT (-868.2113568422642 4819.006242130104),5
Morning,POINT (-868.2259970271936 5547.447917326432),16
Morning,POINT (-868.2498485619589 4817.751829212612),4
Morning,POINT (-868.2878276046283 5548.137927140198),1
Morning,POINT (-868.3248782776689 1600.0992944586806),321
Morning,POINT (-868.3579647144729 3877.598972729721),9
Morning,POINT (-868.3686735385417 4813.879422712507),341
Morning,POINT (-868.4842345842044 4810.113384988344),1
Morning,POINT (-868.5831641304934 3874.3799140580704),2
Morning,POINT (-868.6151884921665 4006.963239572113),17
Morning,POINT (-868.8240066811835 4008.8530034726114),11
Morning,POINT (-868.9489519529175 4804.818356630511),1
Morning,POINT (-869.0660593909641 4803.850803088368),10
Morning,POINT (-869.3337536847424 3866.7458748468152),58
Morning,POINT (-869.4048036998649 4801.0520632181715),1
Morning,POINT (-869.4468719100056 3865.595380595625),2
Morning,POINT (-869.631020288925 5563.127535395476),1
Morning,POINT (-869.6938091625503 5563.828239493583),21
Morning,POINT (-869.6958926484086 5563.851490541021),2
Morning,POINT (-869.7231276130269 3862.785660080253),18
Morning,POINT (-869.840476711381 5565.46500324791),349
Morning,POINT (-869.8694596094133 4797.213028920605),6
Morning,POINT (-870.0970794761646 4795.332410473042),9
Morning,POINT (-870.1726775556344 5569.172260274878),13
Morning,POINT (-870.3192064337977 4793.497174998266),13
Morning,POINT (-870.4298827223464 3682.18365181444),15
Morning,POINT (-870.4667630050958 3855.2223497333475),11
Morning,POINT (-870.5285500432326 4371.68932430984),321
Morning,POINT (-870.5758190925244 3682.188812033928),4
Morning,POINT (-870.6560608445449 3853.2970536500493),10
Morning,POINT (-870.6566646299034 4790.709061122551),331
Morning,POINT (-870.6639305385258 3853.217013164419),325
Morning,POINT (-870.6674175171694 5574.693402772406),330
Morning,POINT (-870.7563568970724 5575.685938302714),1273
Morning,POINT (-870.7717685288657 4789.758061023727),323
Morning,POINT (-870.797566349013 4377.2979076718075),4
Morning,POINT (-870.9699191923312 3850.104887012216),5
Morning,POINT (-871.214351470275 4786.101395829822),1
Morning,POINT (-871.3292649483041 4785.1519690080795),8
Morning,POINT (-871.5338578961827 4783.461601301985),1
Morning,POINT (-871.5854322894531 5584.938159142782),8
Morning,POINT (-871.6122832884698 3843.5715790677273),24
Morning,POINT (-871.6907695228794 4395.919843785579),330
Morning,POINT (-871.8120105046239 3841.5402086722243),24
Morning,POINT (-871.8743645507209 4399.747522615326),4
Morning,POINT (-872.0645382780967 4403.71235738677),1
Morning,POINT (-872.105365273205 5590.740447851285),671
Morning,POINT (-872.1479172213883 5591.215314220961),388
Morning,POINT (-872.2248930081264 3682.2471222642475),24
Morning,POINT (-872.2568105075514 4777.488493431137),4
Morning,POINT (-872.579529911561 5596.031976207982),650
Morning,POINT (-872.7422620321978 4773.477643650414),2
Morning,POINT (-872.7761896608343 4773.197330138214),3
Morning,POINT (-872.8782742505799 4772.3538968938865),10
Morning,POINT (-872.8962417649793 4421.052117982656),1
Morning,POINT (-872.966800043686 5600.353789181942),9
Morning,POINT (-873.0392591611725 3829.0582012781497),11
Morning,POINT (-873.0802807937029 5601.620198690536),19
Morning,POINT (-873.081095160176 4770.678169947983),1
Morning,POINT (-873.1004260493279 3828.436089739339),2
Morning,POINT (-873.10740679512 3828.365090500408),23
Morning,POINT (-873.1104909362955 4425.518889370633),15
Morning,POINT (-873.1414788976313 5602.303150298729),25
Morning,POINT (-873.18227057735 3682.2809745409922),10
Morning,POINT (-873.2015806453111 4427.417972123069),11
Morning,POINT (-873.3168916986424 4768.729995008598),2
Morning,POINT (-873.3760223999062 4050.047858289806),18
Morning,POINT (-873.5855511200085 4051.944052358105),6
Morning,POINT (-873.6208467295155 5607.652744660084),29
Morning,POINT (-873.6869276590038 4308.324932802842),6
Morning,POINT (-873.736521270877 4053.310302791111),2
Morning,POINT (-873.7959915631365 5609.6073059636155),8
Morning,POINT (-873.9466427758178 5611.28852615464),359
Morning,POINT (-873.9622620077383 4763.397879995451),16
Morning,POINT (-874.022469115774 5612.134724279945),4
Morning,POINT (-874.0446526827511 4762.717159874014),7
Morning,POINT (-874.0476698626185 5612.415956695334),4
Morning,POINT (-874.1760149077018 3817.496572297971),74
Morning,POINT (-874.1974312002976 4761.454888251638),3
Morning,POINT (-874.4082533006459 5616.4399545495235),4
Morning,POINT (-874.500162551947 3814.1997560654563),4
Morning,POINT (-874.5740546188654 4444.345628205785),2
Morning,POINT (-874.6763135529897 4296.057623002186),9
Morning,POINT (-874.7174017751493 5799.649547071492),696
Morning,POINT (-874.7184853994465 4445.456799197847),327
Morning,POINT (-874.7188108762986 4757.14719643692),4
Morning,POINT (-874.7926406780256 5799.649342370184),384
Morning,POINT (-874.9008913318416 4064.024327826162),18
Morning,POINT (-874.902460770353 4064.0394040785927),3
Morning,POINT (-874.9630761294 5622.430680697582),3
Morning,POINT (-875.0390565358417 4065.3515626797584),4
Morning,POINT (-875.0548619537369 3808.558061533802),9
Morning,POINT (-875.0884247440404 3808.2167036561646),18
Morning,POINT (-875.1372757858462 4066.29507094469),10
Morning,POINT (-875.1836057348246 5624.119043202869),20
Morning,POINT (-875.2998886974191 4752.34627248654),335
Morning,POINT (-875.3074703363687 5625.067343765856),2
Morning,POINT (-875.357176154201 4751.87295770266),12
Morning,POINT (-875.3726599625159 4450.48965850459),4
Morning,POINT (-875.3789381088395 4287.345842136345),65
Morning,POINT (-875.5319150245659 3803.7060864057953),10
Morning,POINT (-875.5332702090186 3803.692303198726),321
Morning,POINT (-875.5524670839899 4285.19427143931),58
Morning,POINT (-875.7845280377637 5628.719671236097),11
Morning,POINT (-875.8421185764772 3800.5510916881685),28
Morning,POINT (-875.8433740343494 3800.538322772627),1
Morning,POINT (-875.8463707060182 4073.1067388995248),3
Morning,POINT (-875.8960101881776 4454.516027309805),3
Morning,POINT (-875.9085978929771 5629.669543209864),355
Morning,POINT (-875.9357570172795 4454.82181755304),3
Morning,POINT (-875.9382262926919 4454.840814800015),2
Morning,POINT (-875.9837710589625 4074.4266264836947),1
Morning,POINT (-876.0177419259871 3687.7635553788277),5
Morning,POINT (-876.0193822442725 3687.909573738502),16
Morning,POINT (-876.0367255214426 3689.453442941524),10
Morning,POINT (-876.051978437585 3690.8112317410423),4
Morning,POINT (-876.0571591069872 4746.08962748295),4
Morning,POINT (-876.0690784866148 3692.333449186356),2
Morning,POINT (-876.0854465888041 3693.7905099617815),649
Morning,POINT (-876.1418789476754 3698.814023111034),1
Morning,POINT (-876.1803576281427 4456.703640128106),325
Morning,POINT (-876.2195470119061 4457.005141693488),2
Morning,POINT (-876.2723422136204 5632.454349682006),345
Morning,POINT (-876.3051730756948 3713.3501902269845),17
Morning,POINT (-876.3066141570148 3713.478472848953),4
Morning,POINT (-876.3197882385173 3714.6512073045137),18
Morning,POINT (-876.3551033594647 3717.794899646907),27
Morning,POINT (-876.355948516325 3717.8701340813004),360
Morning,POINT (-876.3607662131782 4078.0480962447195),1
Morning,POINT (-876.4103034437451 4458.472716768248),321
Morning,POINT (-876.4284383885715 5633.649413394648),517
Morning,POINT (-876.4393537177132 3725.294724055369),2
Morning,POINT (-876.4753134952713 1600.1706476271795),321
Morning,POINT (-876.4874033773882 3729.572023498847),3
Morning,POINT (-876.4983073684581 3730.5426783432454),15
Morning,POINT (-876.5117716310508 5634.287408106401),344
Morning,POINT (-876.5755160029756 3737.4156604140235),6
Morning,POINT (-876.6259492712643 3741.9051446651733),4
Morning,POINT (-876.7333071677106 3751.461963044918),321
Morning,POINT (-876.7571218247986 5636.165795667976),19
Morning,POINT (-876.8079483567805 3758.1063954639717),4
Morning,POINT (-876.8497622013347 3761.828593191304),9
Morning,POINT (-876.8792504162421 3764.4535842123837),35
Morning,POINT (-876.9361394231842 3769.5177474006146),1
Morning,POINT (-876.9551928440086 3771.2138506995675),10
Morning,POINT (-876.9571647465474 3771.3893861287306),1
Morning,POINT (-876.9828780685127 3773.678342564129),3
Morning,POINT (-876.9938612259106 3774.6560446611534),325
Morning,POINT (-876.9940334916141 3774.671379462757),14
Morning,POINT (-877.0121439435783 3776.283541268509),17
Morning,POINT (-877.0321548133302 3778.064875051762),19
Morning,POINT (-877.084135245149 3787.9188829184104),321
Morning,POINT (-877.1091973391183 3784.9230704043775),326
Morning,POINT (-877.128794066154 3786.667537903428),5
Morning,POINT (-877.1733388058657 4736.867637493828),3
Morning,POINT (-877.2579718563044 5640.000275906302),3
Morning,POINT (-877.2930774100878 4735.878344989622),323
Morning,POINT (-877.424459599699 4261.983598764162),24
Morning,POINT (-877.467531465707 4466.606447717239),322
Morning,POINT (-877.585994454069 4259.948854579976),21
Morning,POINT (-877.6231024708064 5642.795695767825),19
Morning,POINT (-877.7254218897172 4468.590514805554),30
Morning,POINT (-877.7493319297027 5643.762101548368),5
Morning,POINT (-877.9591431338617 4730.375242359362),330
Morning,POINT (-877.9713221237166 4470.482335966268),11
